slot,group,id,title,label,tags,position,related_ailment,related_ability,level,class,reroll_chance,extra_info,tier_1,tier_2,tier_3,tier_4,tier_5,tier_6,tier_7,tier_8
One-Handed Axe,Melee,943,Added Melee And Spell Necrotic Damage,"Necrotic Melee Damage (Added)
Necrotic Spell Damage (Added)","Necrotic,Melee,Spell",Prefix,,,35,,20.0,,"2 To 3
2","3 To 5
3 To 4","6 To 8
5 To 6","9 To 11
6 To 7","11 To 14
8 To 12","21 To 26
16 To 19","27 To 34
19 To 23","57 To 69
38 To 46"
One-Handed Axe,Melee,2,Melee Attack Speed,Melee Attack Speed (Increased),"Melee,Attack Speed",Prefix,,,1,,0.0,,4% To 5%,6% To 7%,8% To 9%,10% To 11%,12% To 15%,18% To 23%,24% To 30%,46% To 53%
One-Handed Axe,Melee,78,Melee Cold Damage,Melee Cold Damage (Added),"Cold,Melee",Prefix,,,1,,25.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Axe,Melee,62,Melee Critical Strike Chance,Melee Critical Strike Chance (Added),"Critical,Melee",Prefix,,,1,,20.0,,1%,1%,2%,2%,3%,4% To 5%,5% To 6%,8% To 10%
One-Handed Axe,Melee,89,Melee Damage,Melee Damage (Increased),Melee,Prefix,,,1,,0.0,,6% To 11%,11% To 17%,18% To 25%,26% To 33%,34% To 49%,57% To 79%,80% To 103%,165% To 206%
One-Handed Axe,Melee,77,Melee Fire Damage,Melee Fire Damage (Added),"Fire,Melee",Prefix,,,1,,25.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Axe,Melee,79,Melee Lightning Damage,Melee Lightning Damage (Added),"Lightning,Melee",Prefix,,,1,,25.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Axe,Melee,63,Melee Physical Damage,Melee Physical Damage (Added),"Physical,Melee",Prefix,,,1,,0.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Axe,Melee,76,Melee Void Damage,Melee Void Damage (Added),"Void,Melee",Prefix,,,1,,0.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Axe,Melee,91,Increased Stun Chance With Melee Attacks,Increased Melee Stun Chance (Added),"Stun,Negative Ailment,Melee",Suffix,,,1,,0.0,,23% To 31%,32% To 43%,43% To 54%,55% To 66%,66% To 80%,103% To 126%,126% To 160%,256% To 320%
One-Handed Axe,General,5,Critical Strike Chance,Critical Strike Chance (Increased),Critical,Prefix,,,1,,20.0,,15% To 20%,21% To 25%,26% To 30%,31% To 35%,36% To 50%,60% To 75%,76% To 100%,160% To 200%
One-Handed Axe,General,6,Critical Strike Multiplier,Critical Strike Multiplier (Added),Critical,Prefix,,,20,,40.0,,7% To 9%,10% To 12%,13% To 16%,17% To 20%,21% To 25%,32% To 40%,41% To 50%,80% To 100%
One-Handed Axe,General,72,Damage Over Time,Damage Over Time (Increased),Damage Over Time,Prefix,,,1,,0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Axe,General,58,Increased Stun Chance,Increased Stun Chance (Added),"Stun,Negative Ailment",Suffix,,,1,,0.0,,15% To 25%,26% To 35%,36% To 45%,46% To 60%,61% To 80%,100% To 130%,131% To 170%,272% To 340%
One-Handed Axe,Damage Type,16,Cold Damage,Cold Damage (Increased),Cold,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Axe,Damage Type,12,Fire Damage,Fire Damage (Increased),Fire,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Axe,Damage Type,23,Lightning Damage,Lightning Damage (Increased),Lightning,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Axe,Damage Type,18,Necrotic Damage,Necrotic Damage (Increased),Necrotic,Prefix,,,6,"Acolyte,Non-Specific",0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Axe,Damage Type,30,Physical Damage,Physical Damage (Increased),Physical,Prefix,,,1,,0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Axe,Damage Type,61,Poison Damage,Poison Damage (Increased),"Damaging Ailment,Poison,Damage Over Time",Prefix,,,11,,30.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Axe,Damage Type,15,Void Damage,Void Damage (Increased),Void,Prefix,,,15,"Sentinel,Non-Specific",40.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Axe,Damage Type,721,Cold Penetration And Minion Cold Penetration,"Cold Penetration (Added)
Minion Cold Penetration (Added)","Penetration,Cold,Minion",Suffix,,,60,,85.0,,"2%
2%","2%
2%","3%
3%","4% To 5%
4% To 5%","5% To 7%
5% To 7%","9% To 10%
9% To 10%","11% To 13%
11% To 13%","20% To 25%
20% To 25%"
One-Handed Axe,Damage Type,720,Fire Penetration And Minion Fire Penetration,"Fire Penetration (Added)
Minion Fire Penetration (Added)","Penetration,Fire,Minion",Suffix,,,60,,85.0,,"2%
2%","2%
2%","3%
3%","4% To 5%
4% To 5%","5% To 7%
5% To 7%","9% To 10%
9% To 10%","11% To 13%
11% To 13%","20% To 25%
20% To 25%"
