Name,Type,Applies To
+1 Skeleton and Increased Skeleton Damage,Prefix,Body Armor
Abyssal Decay Duration,Prefix,Grand Idol [3×1]
Added Javelin Lightning Throwing Damage,Prefix,Helmet
Added Melee And Spell Necrotic Damage,Prefix,"Two-Handed Axe, One-Handed Axe, Dagger"
Added Minion Melee Crit Chance,Prefix,Body Armor
Added Physical Throwing Damage while Dual Wielding,Prefix,Helmet
Added Static Orb Tendrils,Prefix,Grand Idol [3×1]
Armor,Prefix,"Minor Idol [1×1], Ornate Idol [4×1]"
Armor And Minion Armor,Prefix,"Helmet, Body Armor"
Armor granted by Bone Armor,Prefix,Grand Idol [3×1]
Armor Shred Chance for Locusts,Prefix,Body Armor
Attunement,Prefix,"Helmet, Body Armor, Boots, Ring, Gloves, Relic"
Bees Per 10 Seconds,Prefix,Ornate Idol [4×1]
Black Arrows dropped by Dark Quiver and Increased Bow Damage,Prefix,Ornate Idol [4×1]
Black Arrows dropped by Dark Quiver and Increased Bow Damage,Prefix,Body Armor
Bleed Chance per Equipped Sword,Prefix,Adorned Idol [2×2]
Bleed Chance per Equipped Sword,Prefix,Body Armor
Bleed Duration For You And Your Minions,Prefix,Adorned Idol [2×2]
Block Chance,Prefix,Shield
Block Effectiveness,Prefix,Shield
Bow Attack Speed,Prefix,"Bow, Quiver"
Bow Cold Damage,Prefix,"Bow, Quiver"
Bow Damage,Prefix,"Bow, Quiver"
Bow Elemental Damage,Prefix,Ornate Idol [4×1]
Bow Elemental Damage,Prefix,Helmet
Bow Fire Damage,Prefix,"Bow, Quiver"
Bow Lightning Damage,Prefix,"Bow, Quiver"
Bow Physical Damage,Prefix,"Bow, Quiver"
Bow Physical Damage for Ballistae,Prefix,Adorned Idol [2×2]
Cast Speed,Prefix,"Wand, Sceptre, Dagger, Two-Handed Staff, Gloves, Off-Hand Catalyst, Relic"
Cast Speed for Totems,Prefix,Ornate Idol [4×1]
Cast Speed for Totems,Prefix,"Helmet, Body Armor"
Chance for +30 Throwing Fire Damage with Shield Throw,Prefix,Grand Idol [3×1]
Chance for 3 additional projectiles when you directly cast Chaos Bolts,Prefix,Helmet
Chance For Additional Multistrike Swords,Prefix,Huge Idol [1×4]
Chance for Hungering Souls to fire 6 Additional Projectiles,Prefix,Ornate Idol [4×1]
Chance for Summon Wraith to summon a Flame Wraith instead,Prefix,Adorned Idol [2×2]
Chance for Summon Wraith to summon a Putrid Wraith instead,Prefix,Adorned Idol [2×2]
Chance On 10 Or More Mana Spent To Cast Lightning At A Nearby Enemy,Prefix,Adorned Idol [2×2]
Chance on hit to summon a Thorn Totem (up to 3 times per 5 seconds),Prefix,Ornate Idol [4×1]
Chance On Kill To Refresh Random Companion Ability,Prefix,Ornate Idol [4×1]
Chance on Melee Kill to heal a Random Minion to Full Health,Prefix,Large Idol [1×3]
Chance to apply a Spark Charge on Melee Hit,Prefix,Helmet
Chance to apply Critical Vulnerability on hit with Caltrops,Prefix,Huge Idol [1×4]
Chance to apply Damned on Hit,Prefix,Grand Idol [3×1]
Chance to apply Damned on Hit,Prefix,"Helmet, Body Armor"
Chance to apply Frostbite on Hit with Cold Skills,Prefix,Adorned Idol [2×2]
Chance To Apply Frostbite On Hit With Cold Skills,Prefix,"Helmet, Body Armor"
Chance To Apply Frostbite With Cold Skills,Prefix,Adorned Idol [2×2]
Chance To Blind With Spells,Prefix,Adorned Idol [2×2]
Chance To Cast An Avalanche Boulder At a Nearby Enemy On Melee Attack (up to 3 times per second),Prefix,Ornate Idol [4×1]
Chance To Cast An Avalanche Boulder At a Nearby Enemy On Spell Cast (up to 3 times per second),Prefix,Ornate Idol [4×1]
Chance To Cast Divine Bolt When You Use A 0 Cost Skill,Prefix,Huge Idol [1×4]
Chance to cast Elemental Nova when Hit,Prefix,Adorned Idol [2×2]
Chance to Cast Fire Aura on Critical Strike (1 Second Cooldown),Prefix,Adorned Idol [2×2]
Chance to Cast Fire Aura on Critical Strike (1 Second Cooldown),Prefix,"Helmet, Body Armor"
Chance To Cast Fire Aura On Kill Fire Skills (1 second cooldown,Prefix,"Helmet, Body Armor"
Chance to Cast Fire Aura on Kill with Fire Skills (1 Second Cooldown),Prefix,Large Idol [1×3]
Chance to cast Fire Aura when Hit (1 second cooldown),Prefix,"Helmet, Body Armor"
Chance to cast Healing Nova when hit,Prefix,Huge Idol [1×4]
Chance to cast Lightning Blast When Hit while you have Lightning Aegis,Prefix,Adorned Idol [2×2]
Chance to cast Maelstrom every 3 seconds,Prefix,Large Idol [1×3]
Chance to Cast Marrow Shards when you Cast Transplant,Prefix,Huge Idol [1×4]
Chance to cast Marrow Shards when you cast Transplant,Prefix,"Helmet, Body Armor"
Chance to cast Poison Nova when Hit,Prefix,Adorned Idol [2×2]
Chance To Cast Smite When You Hit With Throwing Attacks (up to 10 times per 2 seconds),Prefix,Adorned Idol [2×2]
Chance to cast Void Rift on Kill,Prefix,Large Idol [1×3]
Chance To Chill Nearby Enemies when you use a skill that costs at least 20 Mana,Prefix,Huge Idol [1×4]
Chance To Chill With Necrotic Skills,Prefix,Large Idol [1×3]
Chance to create a Shockwave on Hit with Upheaval,Prefix,Body Armor
Chance to create a Void Essence on Kill,Prefix,Ornate Idol [4×1]
Chance To Create An Aftershock Under A Nearby Enemy On Melee Attack,Prefix,Adorned Idol [2×2]
Chance to deal Double Damage with Falcon Strikes,Prefix,Adorned Idol [2×2]
Chance To Electrify with Lightning Skills,Prefix,"Helmet, Body Armor"
Chance to Gain 20 Mana when you directly Cast Runebolt or Fireball,Prefix,Helmet
Chance to Gain 20 Ward on Kill with Hungering Souls,Prefix,Large Idol [1×3]
Chance to Gain 20 Ward on Kill with Hungering Souls,Prefix,"Helmet, Body Armor"
Chance to Gain 30 Ward when Hit,Prefix,"Stout Idol [1×2], Ornate Idol [4×1]"
Chance to Gain a Storm Stack when you use Gathering Storm and Hit an enemy,Prefix,Helmet
Chance to Gain Crimson Shroud when you use a Melee Attack that Hits,Prefix,Body Armor
Chance to Gain Dusk Shroud when Hit,Prefix,Body Armor
Chance to Gain Dusk Shroud when you use a Melee Attack that Hits,Prefix,Body Armor
Chance to gain Haste for 3 seconds when you Summon a Totem,Prefix,Grand Idol [3×1]
Chance To Gain Inspiration On Kills With Void Skills,Prefix,Large Idol [1×3]
Chance to Gain Lightning Aegis when Hit,Prefix,Body Armor
Chance to Ignite on Bow Hit,Prefix,Grand Idol [3×1]
Chance to Ignite on Bow Hit,Prefix,Helmet
Chance to Ignite on Fire Hit,Prefix,Huge Idol [1×4]
Chance to Ignite on Fire Hit,Prefix,"Helmet, Body Armor"
Chance to Ignite on Hit,Prefix,"Stout Idol [1×2], Large Idol [1×3]"
Chance to Inflict Bleed if Wielding an Axe,Prefix,"Helmet, Body Armor"
Chance to Inflict Bleed On Bow Hit,Prefix,"Helmet, Body Armor"
Chance to Inflict Bleed On Cold Hit,Prefix,Large Idol [1×3]
Chance to Inflict Bleed On Hit,Prefix,"Humble Idol [2×1], Ornate Idol [4×1]"
Chance to Inflict Bleed on Hit with Shurikens,Prefix,Adorned Idol [2×2]
Chance to Inflict Bleed on Hit with Shurikens,Prefix,"Helmet, Body Armor"
Chance To Inflict Time Rot on hit with Void Skills,Prefix,"Helmet, Body Armor"
Chance to Poison on Hit,Prefix,"Humble Idol [2×1], Grand Idol [3×1]"
