Name,Type,Applies To
Experimental Armor applies to Damage over Time,Prefix,Gloves
Experimental Bee on Potion Use,Prefix,Belt
Experimental Dodge Rating and Endurance Threshold,Prefix,Gloves
Experimental Frenzy Effect,Prefix,Boots
Experimental Haste Effect,Prefix,Boots
Experimental Mana on Potion Use,Prefix,Belt
Experimental Minions Transported with Traversal Skills,Prefix,Boots
Experimental Traversal Cooldown Recovery on Potion Use,Prefix,Belt
Experimental Ward Gained on Traversal,Prefix,Boots
Experimental Ward on Kill,Prefix,Gloves
Experimental Ward on Potion Use,Prefix,Belt
Experimental Ward per Missing Health,Prefix,Gloves
