Name,Affix Type,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7
Increased Aspect of the Boar Effect,Suffix,0%,(5% to 12%),,,,,-,-
Increased Aspect of the Lynx Duration,Suffix,0%,(15% to 40%),,,,,-,-
Increased Aspect of the Lynx Effect,Prefix,0%,(10% to 25%),,,,,-,-
Increased Aspect of the Shark Duration,Prefix,0%,(7% to 25%),,,,,-,-
Increased Aspect of the Shark Effect,Suffix,0%,(6% to 20%),,,,,-,-
Increased Aspect of the Viper Duration,Prefix,0%,(15% to 40%),,,,,-,-
Increased Aspect of the Viper Effect,Suffix,0%,(10% to 25%),,,,,-,-
Increased Aura of Decay Area,Prefix,0%,+(10% to 30%),,,,,-,-
Increased Bleed Duration,Prefix,0%,(10% to 40%),,,,,-,-
Increased Bow Attack Speed for 3 seconds when you use a Bow Attack (10 second cooldown),Prefix,0%,(7% to 21%),,,,,-,-
Increased Cast Speed while Cursed,Prefix,0%,(13% to 33%),,,,,-,-
Increased Cast Speed while you have Lightning Aegis,Prefix,0%,+(10% to 28%),,,,,-,-
Increased Chance to Find Potions and Health Gained on Potion Use,Suffix,0%,(5% to 10%) | (20 to 40),,,,,-,-
Increased Cold Damage (Doubled If You Have Over 300 Max Mana),Suffix,0%,(16% to 40%),,,,,-,-
Increased Cold Damage per active Totem,Suffix,0%,(7% to 22%),,,,,-,-
Increased Cooldown Recovery Speed and Increased Mana Regeneration,Suffix,65%,1%+1%,1%+2%,1%+3%,1%+4%,2%+5%,3% | +(6% to 7%),(4% to 5%) | +(8% to 10%)
Increased Cooldown Recovery Speed for Surge,Prefix,0%,(6% to 18%),,,,,-,-
Increased Cooldown Recovery Speed With Transplant,Suffix,0%,(7% to 15%),,,,,-,-
Increased crit chance with a catalyst and Critcal Strike Multiplier with a catalyst,Suffix,0%,(1% to 2%) | +1%,(3% to 4%) | +2%,(5% to 6%) | +3%,(7% to 8%) | +4%,(9% to 10%) | +5%,(12% to 15%) | +(6% to 7%),(16% to 20%) | +(8% to 10%)
Increased Crit Chance with Flurry,Prefix,0%,(30% to 80%),,,,,-,-
Increased Critical Strike Chance and Added Critical Strike Multiplier,Suffix,65%,+(1% to 2%) | +1%,+(3% to 4%) | +2%,+(5% to 6%) | +3%,+(7% to 8%) | +4%,+(9% to 10%) | +5%,+(13% to 15%) | +(6% to 7%),+(16% to 18%) | +(8% to 9%)
Increased Critical Strike Chance and Critical Strike Multiplier,Prefix,0%,+(22% to 30%) | +(3% to 6%),,,,,-,-
Increased Critical Strike Chance per Equipped Dagger,Prefix,0%,(20% to 55%),,,,,-,-
Increased Critical Strike Chance per Equipped Sword,Prefix,0%,(20% to 55%),,,,,-,-
Increased Damage For 4 Seconds If You Have Cast Devouring Orb Recently,Prefix,0%,(22% to 60%),,,,,-,-
Increased Damage Over Time and Chance to Apply Frailty on Hit,Suffix,0%,+(14% to 25%) | +(5% to 10%),,,,,-,-
