Name,Affix Type,Lvl,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8
Void Damage Over Time,Prefix,32,89%,+(40% to 45%),+(46% to 51%),+(52% to 57%),+(58% to 63%),+(64% to 75%),+(90% to 110%),+(111% to 140%),+(224% to 280%)
Void Damage Taken as Physical,Prefix,34,89%,+(18% to 19%),+(20% to 21%),+(22% to 23%),+(24% to 25%),+(26% to 30%),+(36% to 44%),+(45% to 55%),+(88% to 100%)
Void Penetration,Prefix,42,70%,+4%,+5%,+6%,+7%,+(8% to 9%),+(11% to 12%),+(13% to 15%),+(24% to 30%)
Void Penetration and Minion Void Penetration,Suffix,60,85%,+3%+3%,+4%+4%,+(5% to 6%) | +(5% to 6%),+(7% to 8%) | +(7% to 8%),+(9% to 12%) | +(9% to 12%),+(15% to 18%) | +(15% to 18%),+(19% to 22%) | +(19% to 22%),+(35% to 44%) | +(35% to 44%)
Void Resistance,Suffix,6,0%,+(5% to 9%),+(10% to 14%),+(15% to 21%),+(22% to 29%),+(30% to 45%),+(50% to 60%),+(61% to 75%),+(120% to 150%)
Volatile Zombie Speed and Damage,Prefix,28,89%,(13% to 16%) | (30% to 39%),(17% to 20%) | (40% to 50%),(21% to 24%) | (51% to 64%),(26% to 29%) | (65% to 80%),(30% to 35%) | (81% to 100%),(40% to 50%) | (131% to 160%),(51% to 65%) | (161% to 200%),(104% to 130%) | (320% to 400%)
Volcano Champion's | Elemental Critical Strike Chance | Chance to cast Fire Aura on Crit (1 second cooldown),Prefix,0,0%,+(14% to 18%) | +4%,+(19% to 23%) | +5%,+(24% to 28%) | +(6% to 7%),+(29% to 33%) | +(8% to 9%),+(34% to 40%) | +(10% to 11%),+(50% to 59%) | +(14% to 17%),+(60% to 70%) | +(18% to 22%),+(112% to 140%) | +(35% to 44%)
Ward and Ailment Cleansing on Potion Use,Prefix,31,75%,(20 to 30) | 100%,(31 to 40) | 100%,(51 to 60) | 100%,(61 to 75) | 100%,(76 to 100) | 100%,(130 to 170) | 100%,(171 to 220) | 100%,(440 to 500) | 100%
Ward Gained on Kill,Prefix,40,90%,(3 to 5),(6 to 8),(9 to 11),(12 to 14),(15 to 19),(24 to 30),(31 to 38),(61 to 76)
Ward Gained on Potion Use,Prefix,10,60%,(20 to 30),(31 to 45),(46 to 60),(65 to 80),(81 to 110),(150 to 185),(186 to 250),(400 to 500)
Ward gained on use with Shift,Prefix,4,89%,+(16 to 20),+(21 to 25),+(26 to 30),+(31 to 40),+(41 to 50),+(65 to 80),+(81 to 100),+(160 to 200)
Ward gained on use with Smoke Bomb,Prefix,8,89%,(25 to 29),(30 to 35),(36 to 45),(46 to 55),(56 to 70),(90 to 110),(111 to 145),(232 to 290)
Ward Gained per Rune consumed with Runic Invocation,Prefix,29,89%,+(14 to 19),+(20 to 26),+(27 to 35),+(36 to 45),+(46 to 60),+(75 to 90),+(91 to 115),+(184 to 230)
Ward gained when damage leaves you at low health,Suffix,0,0%,(40 to 43),(44 to 47),(48 to 51),(52 to 55),(56 to 60),(70 to 79),(80 to 90),(144 to 180)
Ward Gained When You Create a Shadow,Prefix,18,89%,(16 to 20),(21 to 25),(26 to 30),(31 to 37),(38 to 50),(65 to 85),(86 to 110),(150 to 180)
Ward per Second,Suffix,22,50%,+(8 to 9),+(10 to 12),+(13 to 16),+(17 to 21),+(22 to 28),+(33 to 42),+(43 to 56),+(90 to 112)
Ward Per Second and Ward Decay Threshold,Suffix,0,65%,+(6 to 7) | +(40 to 50),+(8 to 9) | +(51 to 63),+(10 to 11) | +(64 to 78),+(12 to 14) | +(79 to 95),+(15 to 20) | +(96 to 114),+(24 to 30) | +(150 to 180),+(31 to 40) | +(181 to 230),+(64 to 80) | +(368 to 460)
Ward per Second for you or your allies while standing on your Glyph of Dominion,Prefix,49,89%,+(14 to 20),+(21 to 29),+(30 to 42),+(43 to 60),+(61 to 85),+(105 to 130),+(131 to 170),+(272 to 340)
Whirlpool Champion's | Ward Decay Threshold | Ward per second per Active Maelstrom,Prefix,0,0%,+(35 to 43) | +1,+(44 to 65) | +1,+(66 to 90) | +1,+(91 to 135) | +1,+(136 to 200) | +2,+(240 to 300) | +3,+(301 to 400) | +4,+(640 to 800) | +(6 to 8)
Zerrick's Ambition Reforged | Increased Leech Rate | Movement Speed,Prefix,0,0%,(6% to 7%) | +4%,(8% to 9%) | +5%,(10% to 11%) | +6%,(12% to 13%) | +7%,(14% to 15%) | +8%,(25% to 29%) | +(12% to 13%),(30% to 35%) | +(14% to 16%),(56% to 70%) | +(23% to 26%)
Zerrick's Greed Reforged | Damage Over Time | Damage Leeched as Health on Crit,Prefix,0,0%,+(10% to 19%) | +0.1%,+(20% to 29%) | +0.1%,+(30% to 39%) | +0.1%,+(40% to 49%) | +0.1%,+(50% to 60%) | +0.2%,+(80% to 99%) | +0.3%,+(100% to 130%) | +0.4%,+(208% to 260%) | +(0.6% to 0.8%)
Zerrick's Guile Reforged | Melee Attack Speed for 4 seconds when you use a Potion | Throwing Attack Speed for 4 seconds when you use a Potion,Prefix,0,0%,+(6% to 7%) | +(6% to 7%),+(8% to 9%) | +(8% to 9%),+(10% to 11%) | +(10% to 11%),+(12% to 13%) | +(12% to 13%),+(14% to 15%) | +(14% to 15%),+(20% to 24%) | +(20% to 24%),+(25% to 30%) | +(25% to 30%),+(46% to 53%) | +(46% to 53%)
