Affix Type,Lvl,Name,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8,Source File
Prefix,4,Increased Hammer Throw Damage,89%,(30% to 33%),(34% to 37%),(38% to 42%),(43% to 47%),(48% to 58%),(70% to 85%),(86% to 105%),(168% to 210%),affix_details_3
Prefix,15,Increased Healing Effectiveness,0%,(10% to 18%),(19% to 27%),(28% to 37%),(38% to 47%),(48% to 60%),(75% to 95%),(96% to 120%),(200% to 240%),affix_details_3
Suffix,0,Increased Leech Rate,80%,(12% to 17%),(18% to 23%),(24% to 29%),(30% to 35%),(36% to 45%),(55% to 70%),(71% to 100%),(160% to 200%),affix_details_3
Prefix,60,Increased Physical Damage And Bleed Duration,89%,+(25% to 28%) | 15%,+(29% to 32%) | 16%,+(33% to 36%) | (17% to 18%),+(37% to 40%) | (19% to 20%),+(41% to 50%) | (21% to 24%),+(60% to 70%) | (28% to 34%),+(71% to 90%) | (35% to 42%),+(144% to 180%) | (67% to 84%),affix_details_3
Prefix,55,Increased Poison Duration,89%,7%,8%,(9% to 10%),(11% to 12%),(13% to 16%),(20% to 24%),(25% to 30%),(48% to 60%),affix_details_3
Prefix,45,Increased Projectile Speed With Marrow Shards And Bone Nova,89%,+(12% to 13%) | +(12% to 13%),+(14% to 15%) | +(14% to 15%),+(16% to 17%) | +(16% to 17%),+(18% to 19%) | +(18% to 19%),+(20% to 25%) | +(20% to 25%),+(30% to 36%) | +(30% to 36%),+(37% to 46%) | +(37% to 46%),+(74% to 92%) | +(74% to 92%),affix_details_3
Prefix,18,Increased Shield Throw Critical Strike Chance,89%,(45% to 51%),(52% to 58%),(59% to 65%),(66% to 72%),(73% to 95%),(115% to 140%),(141% to 180%),(288% to 360%),affix_details_3
Prefix,45,Increased Skeletal Mage Damage,89%,(25% to 38%),(39% to 52%),(53% to 66%),(67% to 80%),(81% to 95%),(115% to 140%),(141% to 180%),(288% to 360%),affix_details_3
Prefix,50,Increased Smelters Wrath Damage,89%,(30% to 33%),(34% to 37%),(38% to 42%),(43% to 47%),(48% to 58%),(70% to 85%),(86% to 105%),(168% to 210%),affix_details_3
Prefix,26,increased Speed and Distance with Flame Rush,89%,(5% to 6%),(7% to 9%),(10% to 12%),(13% to 15%),(16% to 20%),(26% to 30%),(31% to 38%),(61% to 76%),affix_details_3
Prefix,48,Increased Spell Crit (Doubled if you have over 300 Max Mana),89%,(30% to 33%),(34% to 37%),(38% to 42%),(43% to 47%),(48% to 58%),(70% to 85%),(86% to 105%),(168% to 210%),affix_details_3
Prefix,25,Increased Spell Damage per Skeletal Mage,89%,(14% to 16%),(17% to 19%),(20% to 22%),(23% to 25%),(26% to 33%),(40% to 50%),(51% to 65%),(104% to 130%),affix_details_3
Prefix,13,Increased Spirit Frequency with Chthonic Fissure,89%,+(6% to 11%),+(12% to 17%),+(18% to 23%),+(24% to 29%),+(30% to 35%),+(36% to 52%),+(53% to 70%),+(112% to 140%),affix_details_3
Suffix,0,Increased Stun Chance,0%,(15% to 25%),(26% to 35%),(36% to 45%),(46% to 60%),(61% to 80%),(100% to 130%),(131% to 170%),(272% to 340%),affix_details_3
Suffix,0,Increased Stun Chance with Melee Attacks,0%,(40% to 55%),(56% to 75%),(76% to 95%),(96% to 115%),(116% to 140%),(180% to 220%),(221% to 280%),(448% to 560%),affix_details_3
