group,id,title,type,rarity,subtype,level,class,min_drop_level,implicit,explicit,lp_level,lp0_pct,lp1_pct,lp2_pct,lp3_pct,lp4_pct,lp_remarks,global_drop_reroll_chance,rune_of_ascendance_chance,vendor_cost,timeline,dungeon,arena,bossfight,related_ailments,related_abilities,lore
Regular Unique Items,31,Tempest Maw,One-Handed Axe,Unique,Crescent Axe,51,,,"+ 28 Melee Damage
+ (14 to 28) Lightning Melee Damage
+ (7% to 14%) Lightning Penetration","+ (17 to 21) Lightning Melee Damage
+ (17 to 21) Lightning Spell Damage
(-6 to -3) Mana Cost for Totems
+ (3 to 6) Strength and Attunement
When you summon a totem you also summon 4 Storm Sprites around the totem (6 second cooldown)",30,56.02%,34.51%,8.61%,0.84%,0.013%,,0%,12.82%,,"Reign of Dragons Timeline (""Unique or Set Axe Mace or Spear"" echo rewards) - 3.45% chance",,,,,Summon Storm Sprite,A last sign of favour bestowed to those doomed to fight for Lagon's amusement in his sunken arena.
Regular Unique Items,29,Taste Of Blood,One-Handed Axe,Unique,Rusted Cleaver,13,,,"+ 19 Melee Damage
+ (13% to 19%) Chance to apply Bleed on Hit","+ (20 to 30) Physical Melee Damage
15 Health Gain on Kill
+ (50% to 75%) Chance to apply Bleed on Melee Hit
15% Increased Bleed Duration
When you hit a bleeding enemy with a melee attack all bleed stacks on that enemy double in speed When a bleed stack's speed is double its duration is halved and its damage per second is doubled.",40,62.28%,31.29%,6.01%,0.42%,0.0032%,,0%,12.82%,,"Reign of Dragons Timeline (""Unique or Set Axe Mace or Spear"" echo rewards) - 3.45% chance",,,,Bleed,,A bloody fervor clouds the mind.
Regular Unique Items,314,Cleaver Solution,One-Handed Axe,Unique,Rusted Cleaver,27,,,"+ 19 Melee Damage
+ (13% to 19%) Chance to apply Bleed on Hit","Your Intelligence is equal to your Strength
+ 1 to Level of All Skills
+ (36 to 54) Physical Melee Damage
+ (3 to 9) Strength",50,68.31%,27.54%,3.96%,0.19%,0.00068%,,0%,12.82%,,"Reign of Dragons Timeline (""Unique or Set Axe Mace or Spear"" echo rewards) - 3.45% chance",,,,Bleed,,
Regular Unique Items,363,Monument Of Protection,One-Handed Axe,Unique,Marble Dedication,52,,,"+ 25 Melee Damage
+ 10% Block Chance
+ (250 to 425) Block Effectiveness","(52 to 85) Health Gain on Block
+ (10% to 15%) Endurance
+ (52 to 85) Melee Damage for Shield Bash
+ (52 to 85) Melee Damage for Shield Rush
(30% to 40%) increased Block Effectiveness
5% reduced Movement Speed",52,69.48%,26.74%,3.61%,0.16%,0.00049%,,0%,12.82%,,"Reign of Dragons Timeline (""Unique or Set Axe Mace or Spear"" echo rewards) - 3.45% chance",,,,,"Shield Bash
Shield Rush","A shield dedicated to the great warrior, Arek, who gave his life to repel death from the city's walls."
Regular Unique Items,252,Pact Severance,One-Handed Axe,Unique,Soul Harvester,71,,,"+ 46 Necrotic Melee Damage
(100% to 166%) increased Necrotic Melee Damage
(100% to 166%) increased Minion Necrotic Damage","+ (26% to 39%) Chance to apply Frailty on Hit
(11 to 26) % increased Attack and Cast Speed
+ (36 to 49) Physical Melee Damage
+ (41 to 56) Spell Physical Damage with Sacrifice
(26% to 39%) Increased Area with Sacrifice
When a minion dies you have a (36 to 49) % Chance to cast Sacrifice on your lowest health minion (up to 2 times per second) Only counts your minions' deaths. Can be triggered by sacrificing a minion.",60,74.08%,23.42%,2.43%,0.078%,0.00011%,,50%,6.41%,,"Reign of Dragons Timeline (""Unique or Set Axe Mace or Spear"" echo rewards) - 1.73% chance",,,,Frailty,Sacrifice,
Regular Unique Items,232,Hakar'S Phoenix,One-Handed Axe,Unique,Eagle Wing,63,,,"+ 48 Melee Damage
+ (3% to 4%) Critical Strike Chance
(3% to 4%) increased Movement Speed","+ (1 to 2) to Level of Primalist Melee Skills
+ (12 to 20) Melee Fire Damage for you and your minions
(120% to 200%) increased Melee Damage
+ (12% to 20%) Fire Penetration
When a Companion is Downed it is automatically revived after 2 seconds (10 second cooldown)
When a companion is revived by Hakar's Phoenix it releases a burst of fire and gains 100 melee fire damage and 100% ignite chance for 20 seconds The burst of fire deals fire spell damage and scales with the minion's stats",63,75.76%,22.13%,2.06%,0.058%,0.000062%,,70%,3.85%,,"Reign of Dragons Timeline (""Unique or Set Axe Mace or Spear"" echo rewards) - 1.04% chance",,,,Ignite,Phoenix Flames,
Regular Unique Items,28,Beast King,One-Handed Axe,Unique,Wengari Axe,46,,,"+ 36 Melee Damage
+ (36% to 66%) Chance to apply Bleed on Melee Hit
(10% to 16%) Increased Bleed Duration","+ (25 to 35) Physical Melee Damage
(10% to 20%) increased Melee Attack Speed
(50% to 75%) increased Minion Health
8% less damage taken if your minions have killed recently Recently refers to the past 4 seconds. Multiplicative with other modifiers.
minions take 25% less damage if you have killed recently Recently refers to the past 4 seconds. Multiplicative with other modifiers.",70,79.56%,19.06%,1.35%,0.027%,0.000013%,,0%,12.82%,,"Reign of Dragons Timeline (""Unique or Set Axe Mace or Spear"" echo rewards) - 3.45% chance",,,,Bleed,,The King of Beasts leads the charge.
Regular Unique Items,151,Eulogy Of Blood,One-Handed Axe,Unique,Soul Harvester,83,,,"+ 46 Necrotic Melee Damage
(100% to 166%) increased Necrotic Melee Damage
(100% to 166%) increased Minion Necrotic Damage","+ (30 to 40) Cold Melee Damage
+ (10 to 16) Minion Cold Melee Damage
+ 100% Chance to apply Bleed on Melee Hit
(30% to 40%) Increased Bleed Duration
(30% to 40%) Chance to Cast Rip Blood at 5 nearby targets on Melee Hit (2 second cooldown)
+ (13 to 20) Health Gained from Rip Blood Increases the health gained from Blood Orbs created by Rip Blood. Affected by Increased Healing Effectiveness.",70,79.56%,19.06%,1.35%,0.027%,0.000013%,,,,,"Formosus the Undying (Blood, Frost, and Death Timeline, empowered only) - up to 45% chance with increased item rarity",,,,Bleed,Rip Blood,Only the whispers of ghosts can be heard among the stillness of the crimson tundra.
Regular Unique Items,420,Executioner'S Tithe,One-Handed Axe,Unique,Soul Harvester,70,,,"+ 46 Necrotic Melee Damage
(100% to 166%) increased Necrotic Melee Damage
(100% to 166%) increased Minion Necrotic Damage","+ (3% to 4%) Critical Strike Chance
50% of added melee damage on equipped weapons applied as added spell damage for Chaos Bolts This effect does not stack when dual wielded
Converts direct casts of Harvest to Great Harvest which has a 5 second cooldown, deals 150% more damage, and has 50% more area of effect
Gain 1 Stack of Spirit Battery when you kill an enemy or when you hit a rare or boss enemy (maximum 3 per 2 seconds) Dual wielding affects the amount of stacks gained, but not the limit per 2 seconds
Spirit Battery grants (2 to 4) % increased mana per stack and lasts for 8 seconds This effect does not stack when dual wielded
(2 to 4) % of your maximum mana restored when Great Harvest kills an enemy This effect does not stack when dual wielded
(20 to 30) % of your maximum mana restored when Great Harvest hits a boss or rare enemy This effect does not stack when dual wielded",75,82.19%,16.84%,0.96%,0.014%,0.0000039%,,50%,6.41%,,"Reign of Dragons Timeline (""Unique or Set Axe Mace or Spear"" echo rewards) - 1.73% chance",,,,,"Chaos Bolts
Harvest","The Immortal Empire conquered death and brought freedom to humanity. Yet in that freedom, there remained one inevitable certainty... the tax claimed from their very souls."
Regular Unique Items,30,Undisputed,One-Handed Axe,Unique,Dragonbone Axe,80,,,"+ 51 Melee Damage
+ (10 to 14) Minion Melee Damage
+ (70% to 100%) Chance to apply Bleed on Hit","+ (27 to 41) Physical Melee Damage
(20% to 27%) increased Melee Attack Speed
(7% to 14%) of Overkill Damage Leeched as Health
5% increased physical damage for each recent melee hit against a bleeding enemy (up to 255%) Recent refers to the past 4 seconds",80,84.72%,14.61%,0.65%,0.0072%,9.9E-7%,,50%,6.41%,,"Reign of Dragons Timeline (""Unique or Set Axe Mace or Spear"" echo rewards) - 1.73% chance",,,,Bleed,,
