topic,site,url_root,headline,url,publish_date,publish_time
World,BBC,https://www.bbc.com/news,Gaza officials say children killed in strike as Israeli military admits 'error',/articles/c0rvxjnvv71o,2025-07-13,16:29:05
World,BBC,https://www.bbc.com/news,Iran president was reportedly injured in Israeli strikes,/articles/cn0z8n037p6o,2025-07-13,17:20:02
World,BBC,https://www.bbc.com/news,EU delays retaliatory trade tariffs against US,/articles/cdez5w61g5lo,2025-07-13,16:38:09
World,BBC,https://www.bbc.com/news,Former Nigerian leader Muhammadu Buhari dies aged 82,/articles/c89781qxnzdo,2025-07-13,16:51:25
World,BBC,https://www.bbc.com/news,"Russia's agents killed after intelligence officer shot dead, says Ukraine",/articles/cj3r7p117l0o,2025-07-13,13:31:11
World,BBC,https://www.bbc.com/news,Gisèle Pelicot given France's highest award,/articles/cr5v1p4zel8o,2025-07-13,13:40:45
World,BBC,https://www.bbc.com/news,Trump defends US Attorney General Pam Bondi over Epstein files,/articles/c9qxd2exqgno,2025-07-13,15:36:15
World,BBC,https://www.bbc.com/news,"Texas camp buildings were removed from map showing flood risks, US media reports",/articles/ce8zjk5yx8wo,2025-07-13,15:20:08
World,BBC,https://www.bbc.com/news,"Inside the Congolese mine vital to mobile phones, as rebels give BBC rare access",/articles/cyvj986l615o,2025-07-12,23:40:23
World,BBC,https://www.bbc.com/news,"French prisoner escapes in fellow inmate's bag, officials say",/articles/cn81974j29po,2025-07-13,10:53:29
World,BBC,https://www.bbc.com/news,South Korea medical students end 17-month boycott of classes,/articles/c3enxwvex4no,2025-07-13,12:24:57
World,BBC,https://www.bbc.com/news,German backpacker found after 11 nights in Australia's outback,/articles/c17w87pv5ljo,2025-07-12,11:20:48
World,BBC,https://www.bbc.com/news,"Arizona resident dies from plague, health officials say",/articles/cz7l8w8881qo,2025-07-12,19:38:25
World,BBC,https://www.bbc.com/news,Med Sea heatwave might feel nice for holiday swimming but there's a catch,/articles/c4g2v1l7j6yo,2025-07-12,00:33:38
World,BBC,https://www.bbc.com/news,Gaza hospital says 24 people killed near aid site as witnesses blame IDF,/articles/cp90v2ng70yo,2025-07-12,21:49:47
World,BBC,https://www.bbc.com/news,US drops charges against doctor accused of destroying Covid vaccines,/articles/cy0w1p0wq87o,2025-07-13,07:17:55
World,BBC,https://www.bbc.com/news,Canada's Carney talked tough on Trump - now some say he's backing down,/articles/cvg81518yyyo,2025-07-11,23:05:58
World,BBC,https://www.bbc.com/news,"US has resumed military supplies to Ukraine, Zelensky says",/articles/crl04200dp4o,2025-07-11,22:56:32
World,BBC,https://www.bbc.com/news,Mystery of Air India crash deepens as report reveals cockpit audio,/articles/cx2gy78gpnqo,2025-07-12,16:50:32
World,BBC,https://www.bbc.com/news,The mushroom killer was obsessed with true crime. Now true crime fans are obsessed with her,/articles/c0m8glx2zleo,2025-07-12,21:11:05
World,BBC,https://www.bbc.com/news,Putin's friend Gergiev set for concert as Italy breaks ban on pro-Kremlin artists,/articles/czxw4n7vy70o,2025-07-13,00:00:42
World,BBC,https://www.bbc.com/news,When an unsung Indian helped Austrian Jews escape the Nazis,/articles/crl0r5wrkexo,2025-07-12,23:56:15
